"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"15/08/2025","1,630.00","1,640.69","1,666.54","1,615.26","2.01B","-0.65%"
"14/08/2025","1,640.69","1,611.60","1,641.28","1,611.60","1.75B","1.81%"
"13/08/2025","1,611.60","1,608.22","1,618.31","1,585.54","1.86B","0.21%"
"12/08/2025","1,608.22","1,596.86","1,608.34","1,591.18","1.58B","0.71%"
"11/08/2025","1,596.86","1,584.95","1,601.79","1,584.95","1.59B","0.75%"
"08/08/2025","1,584.95","1,581.81","1,592.52","1,565.45","1.82B","0.20%"
"07/08/2025","1,581.81","1,573.71","1,588.38","1,567.72","1.61B","0.51%"
"06/08/2025","1,573.71","1,547.15","1,574.34","1,547.15","1.33B","1.72%"
"05/08/2025","1,547.15","1,528.19","1,584.98","1,519.08","2.70B","1.24%"
"04/08/2025","1,528.19","1,495.21","1,528.21","1,491.11","1.23B","2.21%"
"01/08/2025","1,495.21","1,502.52","1,509.22","1,479.98","1.38B","-0.49%"
"31/07/2025","1,502.52","1,507.63","1,528.66","1,488.30","1.65B","-0.34%"
"30/07/2025","1,507.63","1,493.41","1,512.15","1,482.45","1.62B","0.95%"
"29/07/2025","1,493.41","1,557.42","1,566.74","1,490.24","2.64B","-4.11%"
"28/07/2025","1,557.42","1,531.13","1,558.12","1,531.13","1.79B","1.72%"
"25/07/2025","1,531.13","1,521.02","1,534.51","1,519.79","1.41B","0.66%"
"24/07/2025","1,521.02","1,512.31","1,525.32","1,502.82","1.39B","0.58%"
"23/07/2025","1,512.31","1,509.54","1,523.37","1,507.14","1.44B","0.18%"
"22/07/2025","1,509.54","1,485.05","1,509.54","1,476.61","1.23B","1.65%"
"21/07/2025","1,485.05","1,497.28","1,511.96","1,481.37","1.39B","-0.82%"
"18/07/2025","1,497.28","1,490.01","1,501.20","1,484.29","1.46B","0.49%"
"17/07/2025","1,490.01","1,475.47","1,494.46","1,475.47","1.41B","0.99%"
"16/07/2025","1,475.47","1,460.65","1,475.47","1,457.04","1.22B","1.01%"
"15/07/2025","1,460.65","1,470.42","1,476.32","1,460.16","1.33B","-0.66%"
"14/07/2025","1,470.42","1,457.76","1,473.93","1,447.72","1.26B","0.87%"
"11/07/2025","1,457.76","1,445.64","1,463.91","1,445.64","1.23B","0.84%"
"10/07/2025","1,445.64","1,431.32","1,446.16","1,431.32","1.07B","1.00%"
"09/07/2025","1,431.32","1,415.46","1,432.29","1,415.46","1.43B","1.12%"
"08/07/2025","1,415.46","1,402.06","1,415.65","1,400.79","1.17B","0.96%"
"07/07/2025","1,402.06","1,386.97","1,402.32","1,386.97","1.23B","1.09%"
"04/07/2025","1,386.97","1,381.96","1,388.04","1,379.40","834.92M","0.36%"
"03/07/2025","1,381.96","1,384.59","1,392.39","1,377.06","1.32B","-0.19%"
"02/07/2025","1,384.59","1,377.84","1,384.72","1,372.27","848.89M","0.49%"
"01/07/2025","1,377.84","1,376.07","1,382.16","1,369.74","725.24M","0.13%"
"30/06/2025","1,376.07","1,371.44","1,377.30","1,371.44","636.41M","0.34%"
"27/06/2025","1,371.44","1,365.67","1,373.28","1,362.09","677.78M","0.42%"
"26/06/2025","1,365.67","1,366.75","1,372.74","1,360.78","598.74M","-0.08%"
"25/06/2025","1,366.75","1,366.77","1,371.57","1,364.09","733.11M","0.00%"
"24/06/2025","1,366.77","1,358.18","1,371.24","1,355.53","881.51M","0.63%"
"23/06/2025","1,358.18","1,349.35","1,358.26","1,338.49","734.13M","0.65%"
"20/06/2025","1,349.35","1,352.04","1,356.78","1,342.31","778.28M","-0.20%"
"19/06/2025","1,352.04","1,346.83","1,353.96","1,342.08","650.85M","0.39%"
"18/06/2025","1,346.83","1,347.69","1,353.99","1,341.64","766.36M","-0.06%"
"17/06/2025","1,347.69","1,338.11","1,353.01","1,338.11","762.36M","0.72%"
"16/06/2025","1,338.11","1,315.49","1,338.66","1,307.37","778.08M","1.72%"
"13/06/2025","1,315.49","1,322.99","1,326.62","1,304.12","1.16B","-0.57%"
