"Date","Price","Open","High","Low","Vol.","Change %"
"05/23/2025","3,802.77","3,819.55","3,827.92","3,782.75","","-0.42%"
"05/22/2025","3,818.90","3,827.40","3,835.45","3,808.69","","-0.29%"
"05/21/2025","3,829.82","3,873.59","3,877.53","3,822.75","","-1.04%"
"05/20/2025","3,870.03","3,873.79","3,879.14","3,856.68","","-0.11%"
"05/19/2025","3,874.12","3,866.21","3,874.52","3,838.24","","0.28%"
"05/16/2025","3,863.29","3,844.13","3,863.64","3,837.75","","0.55%"
"05/15/2025","3,842.19","3,826.96","3,845.51","3,815.12","","0.30%"
"05/14/2025","3,830.71","3,825.59","3,837.78","3,818.74","","0.20%"
"05/13/2025","3,823.07","3,793.86","3,835.08","3,793.76","","0.77%"
"05/12/2025","3,793.70","3,709.50","3,793.70","3,699.83","","2.21%"
"05/09/2025","3,711.68","3,704.51","3,727.10","3,704.30","","0.10%"
"05/08/2025","3,707.89","3,692.50","3,730.75","3,689.41","","0.28%"
"05/07/2025","3,697.54","3,687.28","3,701.55","3,672.03","","0.28%"
"05/06/2025","3,687.16","3,705.84","3,708.92","3,676.40","","-0.55%"
"05/05/2025","3,707.38","3,720.55","3,724.92","3,700.77","","-0.46%"
"05/02/2025","3,724.62","3,664.95","3,726.23","3,664.64","","1.66%"
"05/01/2025","3,663.74","3,652.85","3,690.57","3,649.69","","0.22%"
"04/30/2025","3,655.52","3,649.15","3,659.24","3,583.39","","0.23%"
"04/29/2025","3,647.21","3,631.38","3,652.95","3,622.16","","0.52%"
"04/28/2025","3,628.48","3,619.02","3,640.13","3,603.18","","0.28%"
"04/25/2025","3,618.48","3,596.73","3,620.18","3,585.81","","0.62%"
"04/24/2025","3,596.16","3,536.51","3,598.63","3,535.67","","1.64%"
"04/23/2025","3,537.97","3,479.31","3,584.84","3,479.31","","1.43%"
"04/22/2025","3,487.99","3,423.57","3,496.31","3,419.16","","1.86%"
"04/21/2025","3,424.33","3,481.52","3,488.05","3,397.82","","-1.49%"
"04/18/2025","3,476.06","3,476.01","3,477.61","3,475.46","","0.06%"
"04/17/2025","3,474.06","3,469.60","3,495.91","3,461.67","","0.16%"
"04/16/2025","3,468.47","3,519.83","3,523.80","3,444.15","","-1.54%"
"04/15/2025","3,522.80","3,514.69","3,545.04","3,513.37","","0.25%"
"04/14/2025","3,514.16","3,474.28","3,539.31","3,474.28","","1.24%"
"04/11/2025","3,471.27","3,426.67","3,478.01","3,403.54","","1.44%"
"04/10/2025","3,421.91","3,461.77","3,520.24","3,350.92","","-1.24%"
"04/09/2025","3,464.76","3,257.28","3,469.70","3,217.12","","6.47%"
"04/08/2025","3,254.24","3,267.05","3,397.99","3,222.82","","-0.39%"
"04/07/2025","3,267.00","3,324.47","3,381.36","3,155.66","","-1.78%"
"04/04/2025","3,326.28","3,528.54","3,528.54","3,320.66","","-5.84%"
"04/03/2025","3,532.64","3,669.95","3,673.72","3,523.85","","-3.70%"
"04/02/2025","3,668.53","3,648.68","3,678.66","3,613.67","","0.52%"
"04/01/2025","3,649.56","3,629.19","3,656.50","3,608.29","","0.58%"
"03/31/2025","3,628.64","3,634.78","3,636.08","3,568.00","","-0.17%"
"03/28/2025","3,634.71","3,694.19","3,694.19","3,630.92","","-1.66%"
"03/27/2025","3,696.16","3,707.35","3,715.79","3,683.88","","-0.35%"
"03/26/2025","3,709.19","3,746.47","3,748.98","3,699.29","","-1.01%"
"03/25/2025","3,746.87","3,736.21","3,753.04","3,735.64","","0.30%"
"03/24/2025","3,735.73","3,689.63","3,738.97","3,686.52","","1.24%"
"03/21/2025","3,689.85","3,694.23","3,695.67","3,658.21","","-0.10%"
"03/20/2025","3,693.55","3,706.15","3,715.27","3,676.69","","-0.22%"
"03/19/2025","3,701.86","3,673.72","3,724.31","3,669.25","","0.80%"
"03/18/2025","3,672.57","3,696.31","3,705.52","3,662.38","","-0.67%"
"03/17/2025","3,697.21","3,666.59","3,710.19","3,666.55","","0.86%"
"03/14/2025","3,665.71","3,599.32","3,669.05","3,597.94","","1.83%"
"03/13/2025","3,599.67","3,642.51","3,644.85","3,591.61","","-1.19%"
"03/12/2025","3,643.01","3,622.38","3,662.17","3,612.67","","0.55%"
"03/11/2025","3,623.17","3,650.03","3,653.70","3,602.89","","-0.78%"
"03/10/2025","3,651.48","3,740.10","3,741.66","3,626.11","","-2.38%"
"03/07/2025","3,740.37","3,730.12","3,743.78","3,688.22","","0.25%"
"03/06/2025","3,730.93","3,780.20","3,786.12","3,718.02","","-1.24%"
"03/05/2025","3,777.64","3,728.66","3,787.30","3,725.96","","1.42%"
"03/04/2025","3,724.69","3,769.61","3,770.44","3,698.49","","-1.21%"
"03/03/2025","3,770.34","3,804.83","3,839.29","3,751.36","","-0.92%"
"02/28/2025","3,805.33","3,763.94","3,806.02","3,747.89","","1.01%"
"02/27/2025","3,767.35","3,820.73","3,829.92","3,766.11","","-1.41%"
"02/26/2025","3,821.04","3,814.94","3,846.59","3,809.53","","0.18%"
"02/25/2025","3,814.35","3,827.28","3,835.08","3,791.58","","-0.36%"
"02/24/2025","3,828.18","3,843.97","3,855.98","3,820.88","","-0.39%"
"02/21/2025","3,843.08","3,895.18","3,897.58","3,841.49","","-1.30%"
"02/20/2025","3,893.65","3,906.37","3,908.46","3,875.74","","-0.34%"
"02/19/2025","3,906.82","3,908.69","3,909.59","3,891.25","","-0.10%"
"02/18/2025","3,910.71","3,902.12","3,910.71","3,894.91","","0.22%"
"02/17/2025","3,902.14","3,897.37","3,902.62","3,896.28","","0.08%"
"02/14/2025","3,898.87","3,897.06","3,905.23","3,894.61","","0.12%"
"02/13/2025","3,894.24","3,849.08","3,897.86","3,848.80","","1.20%"
"02/12/2025","3,848.18","3,856.46","3,858.25","3,822.44","","-0.18%"
"02/11/2025","3,854.96","3,852.96","3,860.98","3,843.19","","0.02%"
"02/10/2025","3,854.09","3,829.69","3,856.37","3,828.12","","0.55%"
"02/07/2025","3,832.82","3,865.04","3,873.07","3,829.80","","-0.81%"
"02/06/2025","3,864.03","3,847.89","3,865.55","3,846.22","","0.40%"
"02/05/2025","3,848.65","3,826.82","3,848.65","3,819.79","","0.58%"
"02/04/2025","3,826.36","3,799.70","3,829.85","3,795.54","","0.79%"
"02/03/2025","3,796.53","3,826.12","3,826.59","3,755.03","","-1.04%"
"01/31/2025","3,836.58","3,850.08","3,876.98","3,830.45","","-0.44%"
"01/30/2025","3,853.49","3,828.70","3,861.01","3,828.58","","0.65%"
"01/29/2025","3,828.45","3,837.62","3,841.68","3,814.06","","-0.20%"
"01/28/2025","3,836.25","3,809.64","3,840.59","3,803.13","","0.60%"
"01/27/2025","3,813.33","3,854.63","3,857.13","3,797.12","","-1.13%"
"01/24/2025","3,856.78","3,857.56","3,868.38","3,849.19","","0.02%"
"01/23/2025","3,856.17","3,837.66","3,857.93","3,834.32","","0.47%"
"01/22/2025","3,838.19","3,819.13","3,845.19","3,817.09","","0.55%"
"01/21/2025","3,817.28","3,789.95","3,819.20","3,783.53","","0.76%"
"01/20/2025","3,788.38","3,775.72","3,792.99","3,774.79","","0.28%"
"01/17/2025","3,777.85","3,746.10","3,785.48","3,743.60","","0.83%"
"01/16/2025","3,746.86","3,743.86","3,759.49","3,740.21","","0.06%"
"01/15/2025","3,744.47","3,683.27","3,749.27","3,682.92","","1.68%"
"01/14/2025","3,682.46","3,679.35","3,695.80","3,663.96","","0.21%"
"01/13/2025","3,674.92","3,677.49","3,677.64","3,644.69","","-0.09%"
"01/10/2025","3,678.22","3,732.15","3,732.40","3,668.09","","-1.44%"
"01/09/2025","3,732.14","3,733.25","3,733.62","3,725.70","","0.00%"
"01/08/2025","3,732.20","3,731.69","3,737.43","3,710.91","","-0.04%"
"01/07/2025","3,733.55","3,763.15","3,780.31","3,723.41","","-0.79%"
"01/06/2025","3,763.15","3,738.39","3,784.97","3,736.07","","0.69%"
"01/03/2025","3,737.50","3,701.96","3,741.89","3,700.73","","0.94%"
"01/02/2025","3,702.68","3,707.54","3,733.76","3,682.81","","-0.14%"
"01/01/2025","3,707.88","3,707.84","3,707.89","3,707.83","","0.00%"
"12/31/2024","3,707.84","3,720.88","3,732.10","3,701.55","","-0.30%"
"12/30/2024","3,718.94","3,755.55","3,755.79","3,700.43","","-0.97%"
"12/27/2024","3,755.36","3,779.70","3,787.43","3,736.35","","-0.62%"
"12/26/2024","3,778.70","3,779.79","3,784.67","3,764.83","","0.00%"
"12/25/2024","3,778.53","3,779.00","3,779.82","3,777.54","","0.02%"
"12/24/2024","3,777.89","3,746.34","3,779.01","3,745.59","","0.87%"
"12/23/2024","3,745.13","3,724.93","3,748.18","3,710.47","","0.59%"
"12/20/2024","3,723.22","3,694.47","3,749.86","3,668.17","","0.74%"
"12/19/2024","3,696.05","3,711.28","3,733.05","3,694.88","","-0.65%"
"12/18/2024","3,720.41","3,812.15","3,818.61","3,710.87","","-2.40%"
"12/17/2024","3,812.07","3,826.80","3,829.57","3,805.20","","-0.39%"
"12/16/2024","3,826.99","3,818.88","3,832.53","3,813.81","","0.26%"
"12/13/2024","3,817.24","3,823.81","3,832.83","3,809.61","","-0.23%"
"12/12/2024","3,826.08","3,845.62","3,847.29","3,824.14","","-0.42%"
"12/11/2024","3,842.39","3,818.27","3,846.83","3,814.55","","0.67%"
"12/10/2024","3,816.76","3,834.80","3,835.81","3,816.16","","-0.54%"
"12/09/2024","3,837.63","3,854.70","3,858.66","3,832.78","","-0.45%"
"12/06/2024","3,855.07","3,849.28","3,860.76","3,846.11","","0.17%"
"12/05/2024","3,848.48","3,849.90","3,858.25","3,848.48","","-0.03%"
"12/04/2024","3,849.72","3,829.39","3,849.95","3,824.94","","0.51%"
"12/03/2024","3,830.12","3,820.24","3,830.98","3,820.24","","0.32%"
"12/02/2024","3,817.72","3,811.45","3,824.14","3,807.38","","0.20%"
"11/29/2024","3,810.14","3,789.45","3,816.21","3,789.04","","0.55%"
"11/28/2024","3,789.28","3,786.07","3,789.86","3,784.28","","0.09%"
"11/27/2024","3,786.04","3,791.34","3,795.04","3,779.80","","-0.11%"
"11/26/2024","3,790.31","3,782.72","3,791.63","3,773.26","","0.23%"
"11/25/2024","3,781.79","3,773.20","3,800.56","3,770.82","","0.42%"
"11/22/2024","3,765.96","3,751.47","3,768.64","3,747.89","","0.33%"
"11/21/2024","3,753.51","3,735.03","3,758.58","3,723.67","","0.56%"
"11/20/2024","3,732.77","3,738.83","3,739.83","3,705.80","","-0.17%"
"11/19/2024","3,738.95","3,725.86","3,740.70","3,703.88","","0.42%"
"11/18/2024","3,723.36","3,710.77","3,729.94","3,705.71","","0.35%"
"11/15/2024","3,710.50","3,749.44","3,753.38","3,703.42","","-1.12%"
"11/14/2024","3,752.70","3,765.19","3,774.40","3,745.97","","-0.38%"
"11/13/2024","3,767.05","3,773.02","3,776.83","3,754.66","","-0.16%"
"11/12/2024","3,773.23","3,797.18","3,798.13","3,760.84","","-0.58%"
"11/11/2024","3,795.30","3,788.76","3,803.16","3,785.53","","0.11%"
"11/08/2024","3,791.23","3,787.75","3,796.13","3,780.45","","0.10%"
"11/07/2024","3,787.27","3,751.23","3,792.21","3,750.65","","0.94%"
"11/06/2024","3,752.15","3,696.57","3,754.70","3,681.55","","1.60%"
"11/05/2024","3,692.96","3,654.65","3,694.99","3,653.89","","1.01%"
"11/04/2024","3,656.14","3,662.10","3,671.55","3,647.12","","-0.11%"
"11/01/2024","3,660.03","3,649.45","3,681.62","3,643.06","","0.35%"
"10/31/2024","3,647.14","3,705.32","3,705.98","3,647.14","","-1.60%"
"10/30/2024","3,706.29","3,719.24","3,725.17","3,702.32","","-0.31%"
"10/29/2024","3,717.86","3,716.37","3,724.31","3,703.62","","0.03%"
"10/28/2024","3,716.61","3,702.38","3,725.98","3,701.56","","0.29%"
"10/25/2024","3,705.81","3,708.56","3,733.06","3,700.02","","-0.04%"
"10/24/2024","3,707.18","3,697.85","3,713.19","3,695.25","","0.26%"
"10/23/2024","3,697.60","3,730.85","3,731.64","3,680.84","","-0.90%"
"10/22/2024","3,731.32","3,737.42","3,737.91","3,718.13","","-0.24%"
"10/21/2024","3,740.27","3,754.13","3,755.02","3,725.97","","-0.34%"
"10/18/2024","3,753.04","3,737.40","3,756.70","3,736.89","","0.41%"
"10/17/2024","3,737.87","3,734.36","3,755.87","3,734.14","","0.07%"
"10/16/2024","3,735.29","3,727.37","3,736.12","3,720.57","","0.18%"
"10/15/2024","3,728.40","3,753.56","3,758.62","3,722.68","","-0.67%"
"10/14/2024","3,753.49","3,730.86","3,758.02","3,729.35","","0.58%"
"10/11/2024","3,731.93","3,712.15","3,735.39","3,709.43","","0.57%"
"10/10/2024","3,710.71","3,715.45","3,718.39","3,702.54","","-0.15%"
"10/09/2024","3,716.17","3,697.42","3,717.04","3,690.61","","0.59%"
"10/08/2024","3,694.30","3,679.67","3,697.80","3,667.97","","0.42%"
"10/07/2024","3,678.75","3,697.88","3,706.08","3,673.94","","-0.53%"
"10/04/2024","3,698.41","3,676.80","3,698.99","3,671.45","","0.61%"
"10/03/2024","3,675.89","3,685.83","3,690.46","3,666.66","","-0.27%"
"10/02/2024","3,685.92","3,693.09","3,693.36","3,667.80","","-0.21%"
"10/01/2024","3,693.50","3,721.38","3,724.13","3,678.48","","-0.79%"
"09/30/2024","3,723.03","3,726.01","3,726.42","3,691.49","","-0.10%"
"09/27/2024","3,726.80","3,720.20","3,739.31","3,717.94","","0.17%"
"09/26/2024","3,720.51","3,693.80","3,729.70","3,693.71","","0.67%"
"09/25/2024","3,695.89","3,706.32","3,707.66","3,688.53","","-0.17%"
"09/24/2024","3,702.33","3,688.87","3,705.65","3,684.56","","0.38%"
"09/23/2024","3,688.33","3,677.69","3,691.17","3,674.90","","0.31%"
"09/20/2024","3,676.84","3,692.81","3,697.10","3,662.63","","-0.34%"
"09/19/2024","3,689.52","3,629.67","3,700.12","3,628.49","","1.65%"
"09/18/2024","3,629.69","3,641.04","3,666.38","3,625.69","","-0.30%"
"09/17/2024","3,640.50","3,641.34","3,657.90","3,629.86","","-0.01%"
"09/16/2024","3,640.73","3,634.28","3,642.26","3,626.94","","0.16%"
"09/13/2024","3,634.86","3,615.01","3,638.58","3,614.29","","0.65%"
"09/12/2024","3,611.30","3,578.08","3,615.72","3,578.08","","0.91%"
"09/11/2024","3,578.65","3,552.35","3,581.02","3,505.75","","0.75%"
"09/10/2024","3,552.03","3,546.05","3,554.33","3,527.36","","0.16%"
"09/09/2024","3,546.40","3,515.04","3,553.38","3,508.59","","0.79%"
"09/06/2024","3,518.58","3,570.06","3,578.27","3,512.40","","-1.37%"
"09/05/2024","3,567.49","3,579.10","3,591.36","3,558.90","","-0.35%"
"09/04/2024","3,580.06","3,595.57","3,596.64","3,570.47","","-0.43%"
"09/03/2024","3,595.44","3,659.52","3,661.54","3,584.18","","-1.75%"
"09/02/2024","3,659.44","3,660.03","3,660.75","3,656.21","","-0.05%"
"08/30/2024","3,661.24","3,633.84","3,661.24","3,627.06","","0.80%"
"08/29/2024","3,632.15","3,630.00","3,659.92","3,629.54","","0.03%"
"08/28/2024","3,631.20","3,648.03","3,649.98","3,614.94","","-0.44%"
"08/27/2024","3,647.30","3,640.79","3,651.24","3,631.21","","0.15%"
"08/26/2024","3,641.81","3,651.14","3,657.51","3,634.24","","-0.21%"
"08/23/2024","3,649.56","3,608.06","3,653.20","3,607.84","","1.16%"
"08/22/2024","3,607.63","3,632.75","3,644.36","3,602.45","","-0.63%"
"08/21/2024","3,630.66","3,615.51","3,637.73","3,614.53","","0.41%"
"08/20/2024","3,615.77","3,620.75","3,628.01","3,610.83","","-0.07%"
"08/19/2024","3,618.41","3,585.87","3,619.15","3,585.04","","0.95%"
"08/16/2024","3,584.19","3,567.93","3,589.13","3,567.93","","0.45%"
"08/15/2024","3,568.10","3,520.25","3,568.57","3,520.04","","1.30%"
"08/14/2024","3,522.42","3,504.77","3,524.49","3,501.93","","0.59%"
"08/13/2024","3,501.91","3,448.46","3,505.13","3,448.46","","1.61%"
"08/12/2024","3,446.33","3,446.36","3,460.16","3,436.00","","-0.04%"
"08/09/2024","3,447.75","3,429.16","3,453.38","3,423.77","","0.58%"
"08/08/2024","3,427.78","3,371.79","3,432.00","3,364.63","","1.64%"
"08/07/2024","3,372.32","3,379.48","3,435.85","3,370.42","","-0.25%"
"08/06/2024","3,380.91","3,338.23","3,414.05","3,338.23","","1.14%"
"08/05/2024","3,342.73","3,448.78","3,449.02","3,313.57","","-3.08%"
"08/02/2024","3,448.80","3,516.92","3,516.97","3,425.92","","-1.97%"
"08/01/2024","3,518.01","3,571.82","3,582.91","3,499.47","","-1.50%"
"07/31/2024","3,571.57","3,517.03","3,586.65","3,515.30","","1.63%"
"07/30/2024","3,514.37","3,525.60","3,541.81","3,500.94","","-0.34%"
"07/29/2024","3,526.51","3,524.77","3,540.51","3,518.36","","0.07%"
"07/26/2024","3,524.08","3,489.73","3,537.52","3,489.10","","0.95%"
"07/25/2024","3,490.82","3,512.05","3,534.67","3,481.11","","-0.72%"
"07/24/2024","3,515.97","3,579.93","3,581.09","3,511.31","","-1.81%"
"07/23/2024","3,580.87","3,585.81","3,594.98","3,579.23","","-0.11%"
"07/22/2024","3,584.66","3,554.13","3,587.24","3,549.78","","0.87%"
"07/19/2024","3,553.76","3,577.00","3,577.51","3,549.62","","-0.73%"
"07/18/2024","3,579.84","3,608.71","3,617.63","3,566.88","","-0.77%"
"07/17/2024","3,607.74","3,645.75","3,649.18","3,606.90","","-0.97%"
"07/16/2024","3,642.95","3,628.46","3,645.99","3,622.72","","0.37%"
"07/15/2024","3,629.58","3,625.09","3,646.72","3,620.84","","0.06%"
"07/12/2024","3,627.52","3,603.80","3,645.59","3,600.94","","0.59%"
"07/11/2024","3,606.15","3,616.31","3,634.27","3,600.76","","-0.21%"
"07/10/2024","3,613.61","3,579.28","3,614.39","3,578.74","","0.96%"
"07/09/2024","3,579.33","3,582.27","3,587.57","3,578.11","","-0.09%"
"07/08/2024","3,582.70","3,581.58","3,589.67","3,576.99","","0.05%"
"07/05/2024","3,580.90","3,569.09","3,583.85","3,562.28","","0.32%"
"07/04/2024","3,569.36","3,562.11","3,570.09","3,562.11","","0.20%"
"07/03/2024","3,562.23","3,538.32","3,562.34","3,537.58","","0.70%"
"07/02/2024","3,537.51","3,520.74","3,538.30","3,512.28","","0.50%"
"07/01/2024","3,520.04","3,513.68","3,526.69","3,507.01","","0.24%"
"06/28/2024","3,511.78","3,522.10","3,542.95","3,506.43","","-0.29%"
"06/27/2024","3,521.90","3,519.01","3,527.15","3,513.83","","0.05%"
"06/26/2024","3,520.21","3,521.33","3,524.96","3,506.76","","-0.01%"
"06/25/2024","3,520.73","3,510.17","3,523.34","3,509.60","","0.34%"
"06/24/2024","3,508.95","3,507.47","3,530.61","3,507.16","","0.03%"
"06/21/2024","3,507.81","3,519.10","3,520.12","3,500.70","","-0.34%"
"06/20/2024","3,519.68","3,522.78","3,533.52","3,509.91","","-0.11%"
"06/19/2024","3,523.66","3,524.24","3,525.64","3,522.68","","0.03%"
"06/18/2024","3,522.68","3,511.99","3,524.79","3,510.77","","0.41%"
"06/17/2024","3,508.25","3,490.95","3,516.86","3,483.01","","0.46%"
"06/14/2024","3,492.05","3,502.51","3,503.47","3,476.50","","-0.35%"
"06/13/2024","3,504.47","3,513.06","3,513.23","3,489.18","","-0.34%"
"06/12/2024","3,516.30","3,479.79","3,529.65","3,478.78","","1.04%"
"06/11/2024","3,479.94","3,483.88","3,484.10","3,455.99","","-0.07%"
"06/10/2024","3,482.22","3,477.94","3,485.96","3,465.62","","0.10%"
"06/07/2024","3,478.70","3,491.26","3,493.26","3,471.85","","-0.32%"
"06/06/2024","3,489.89","3,486.35","3,494.34","3,483.52","","0.19%"
"06/05/2024","3,483.40","3,452.31","3,484.95","3,449.49","","0.86%"
"06/04/2024","3,453.71","3,454.55","3,457.77","3,437.85","","0.01%"
"06/03/2024","3,453.44","3,446.93","3,463.45","3,430.82","","0.24%"
"05/31/2024","3,445.17","3,420.21","3,446.26","3,403.08","","0.73%"
"05/30/2024","3,420.32","3,427.20","3,432.92","3,412.84","","-0.28%"
"05/29/2024","3,430.00","3,462.28","3,462.89","3,428.06","","-1.00%"
"05/28/2024","3,464.61","3,467.97","3,472.41","3,451.28","","-0.10%"
"05/27/2024","3,468.13","3,462.86","3,468.13","3,462.71","","0.17%"
"05/24/2024","3,462.13","3,443.41","3,466.57","3,438.25","","0.46%"
"05/23/2024","3,446.42","3,464.39","3,486.26","3,439.65","","-0.55%"
"05/22/2024","3,465.55","3,478.43","3,479.22","3,454.84","","-0.41%"
"05/21/2024","3,479.84","3,476.74","3,480.08","3,466.85","","0.08%"
"05/20/2024","3,477.07","3,472.00","3,484.09","3,471.79","","0.13%"
"05/17/2024","3,472.52","3,467.76","3,472.52","3,462.60","","0.11%"
"05/16/2024","3,468.71","3,477.23","3,481.82","3,468.07","","-0.10%"
"05/15/2024","3,472.26","3,435.31","3,476.26","3,435.31","","1.08%"
"05/14/2024","3,435.15","3,420.51","3,436.62","3,416.99","","0.41%"
"05/13/2024","3,421.11","3,420.19","3,428.23","3,415.52","","0.03%"
"05/10/2024","3,419.92","3,412.98","3,430.84","3,412.15","","0.26%"
"05/09/2024","3,411.11","3,396.33","3,412.50","3,392.40","","0.46%"
"05/08/2024","3,395.64","3,398.29","3,398.29","3,384.85","","-0.18%"
"05/07/2024","3,401.77","3,390.65","3,406.66","3,389.26","","0.31%"
"05/06/2024","3,391.13","3,359.79","3,391.13","3,359.63","","0.88%"
"05/03/2024","3,361.41","3,326.07","3,369.62","3,325.53","","1.19%"
"05/02/2024","3,321.81","3,298.42","3,330.11","3,294.37","","0.84%"
"05/01/2024","3,294.01","3,301.50","3,334.48","3,290.58","","-0.34%"
"04/30/2024","3,305.30","3,348.70","3,351.81","3,303.11","","-1.25%"
"04/29/2024","3,347.04","3,335.84","3,350.77","3,334.46","","0.36%"
"04/26/2024","3,335.08","3,307.66","3,342.22","3,306.34","","0.86%"
"04/25/2024","3,306.68","3,322.78","3,323.30","3,273.66","","-0.50%"
"04/24/2024","3,323.29","3,323.59","3,335.57","3,311.46","","0.02%"
"04/23/2024","3,322.54","3,284.08","3,326.05","3,283.13","","1.23%"
"04/22/2024","3,282.09","3,256.14","3,296.63","3,256.14","","0.81%"
"04/19/2024","3,255.62","3,278.34","3,280.14","3,247.60","","-0.75%"
"04/18/2024","3,280.10","3,282.71","3,302.85","3,274.83","","-0.03%"
"04/17/2024","3,281.11","3,297.32","3,312.69","3,274.86","","-0.49%"
"04/16/2024","3,297.14","3,316.13","3,316.17","3,290.15","","-0.62%"
"04/15/2024","3,317.68","3,349.50","3,374.53","3,312.95","","-0.99%"
"04/12/2024","3,351.01","3,393.57","3,396.75","3,343.10","","-1.18%"
"04/11/2024","3,391.01","3,376.82","3,399.04","3,361.40","","0.33%"
"04/10/2024","3,379.72","3,411.41","3,415.70","3,367.46","","-0.95%"
