"Date","Price","Open","High","Low","Vol.","Change %"
"08/15/2025","4,174.56","4,174.26","4,185.09","4,170.65","","0.01%"
"08/14/2025","4,174.17","4,177.07","4,177.63","4,159.79","","-0.09%"
"08/13/2025","4,177.97","4,159.90","4,183.12","4,159.06","","0.52%"
"08/12/2025","4,156.48","4,114.86","4,158.51","4,114.86","","1.05%"
"08/11/2025","4,113.11","4,125.61","4,130.31","4,109.56","","-0.30%"
"08/08/2025","4,125.30","4,103.18","4,128.73","4,101.61","","0.66%"
"08/07/2025","4,098.08","4,095.34","4,126.01","4,083.96","","0.12%"
"08/06/2025","4,093.26","4,064.08","4,098.67","4,064.08","","0.74%"
"08/05/2025","4,063.30","4,075.47","4,087.76","4,056.53","","-0.23%"
"08/04/2025","4,072.66","4,024.62","4,073.28","4,018.30","","1.24%"
"08/01/2025","4,022.69","4,073.77","4,076.16","4,009.56","","-1.31%"
"07/31/2025","4,076.04","4,092.35","4,114.71","4,069.33","","-0.48%"
"07/30/2025","4,095.58","4,104.63","4,113.82","4,079.24","","-0.18%"
"07/29/2025","4,102.80","4,114.56","4,125.18","4,100.65","","-0.40%"
"07/28/2025","4,119.12","4,129.02","4,131.78","4,109.67","","-0.20%"
"07/25/2025","4,127.47","4,121.34","4,131.71","4,110.69","","0.08%"
"07/24/2025","4,124.25","4,119.19","4,131.77","4,118.94","","0.22%"
"07/23/2025","4,115.24","4,077.67","4,118.05","4,077.33","","0.99%"
"07/22/2025","4,074.99","4,072.62","4,079.85","4,057.64","","0.07%"
"07/21/2025","4,072.14","4,064.22","4,088.33","4,062.70","","0.16%"
"07/18/2025","4,065.68","4,063.67","4,075.51","4,058.51","","0.13%"
"07/17/2025","4,060.51","4,039.09","4,064.01","4,036.10","","0.61%"
"07/16/2025","4,035.77","4,030.38","4,041.31","4,013.83","","0.11%"
"07/15/2025","4,031.20","4,050.76","4,067.37","4,029.78","","-0.50%"
"07/14/2025","4,051.50","4,045.84","4,052.41","4,035.43","","0.12%"
"07/11/2025","4,046.84","4,067.40","4,068.11","4,038.65","","-0.42%"
"07/10/2025","4,063.96","4,057.36","4,070.18","4,048.31","","0.20%"
"07/09/2025","4,055.89","4,032.99","4,057.85","4,030.21","","0.64%"
"07/08/2025","4,030.01","4,033.72","4,039.41","4,025.62","","-0.13%"
"07/07/2025","4,035.12","4,061.54","4,062.28","4,018.34","","-0.65%"
"07/04/2025","4,061.43","4,066.04","4,066.19","4,059.04","","-0.04%"
"07/03/2025","4,063.04","4,039.79","4,065.12","4,033.83","","0.66%"
"07/02/2025","4,036.25","4,023.28","4,039.66","4,016.07","","0.37%"
"07/01/2025","4,021.57","4,030.33","4,031.01","4,010.98","","-0.12%"
"06/30/2025","4,026.44","4,011.61","4,033.95","4,008.66","","0.43%"
"06/27/2025","4,009.04","3,984.67","4,017.21","3,984.67","","0.62%"
"06/26/2025","3,984.50","3,954.86","3,986.98","3,954.35","","0.87%"
"06/25/2025","3,950.11","3,957.36","3,960.12","3,946.93","","-0.20%"
"06/24/2025","3,957.83","3,912.76","3,962.20","3,912.76","","1.33%"
"06/23/2025","3,905.86","3,879.50","3,910.75","3,866.62","","0.62%"
"06/20/2025","3,881.69","3,890.51","3,908.54","3,875.89","","-0.14%"
"06/19/2025","3,887.09","3,897.09","3,897.09","3,886.49","","-0.32%"
"06/18/2025","3,899.46","3,896.59","3,918.12","3,893.06","","-0.06%"
"06/17/2025","3,901.81","3,932.57","3,934.40","3,894.86","","-0.87%"
"06/16/2025","3,936.03","3,900.97","3,947.10","3,900.04","","0.90%"
"06/13/2025","3,900.90","3,947.02","3,947.09","3,894.83","","-1.11%"
"06/12/2025","3,944.58","3,931.51","3,945.56","3,925.43","","0.39%"
"06/11/2025","3,929.36","3,935.93","3,948.19","3,921.60","","-0.14%"
"06/10/2025","3,934.94","3,920.41","3,935.54","3,916.91","","0.40%"
"06/09/2025","3,919.17","3,917.36","3,928.08","3,911.70","","0.11%"
"06/06/2025","3,914.72","3,889.40","3,922.80","3,884.67","","0.64%"
"06/05/2025","3,889.67","3,902.17","3,916.64","3,880.10","","-0.36%"
"06/04/2025","3,903.91","3,894.87","3,913.44","3,893.34","","0.24%"
"06/03/2025","3,894.53","3,882.61","3,898.98","3,870.52","","0.34%"
"06/02/2025","3,881.41","3,863.18","3,881.89","3,840.77","","0.46%"
"05/30/2025","3,863.48","3,863.00","3,868.55","3,831.11","","0.03%"
"05/29/2025","3,862.34","3,841.25","3,878.95","3,841.02","","0.43%"
"05/28/2025","3,845.70","3,870.53","3,871.40","3,841.94","","-0.60%"
"05/27/2025","3,869.06","3,814.07","3,869.87","3,812.21","","1.45%"
"05/26/2025","3,813.89","3,804.65","3,814.88","3,804.46","","0.29%"
